2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/guanglizi/aurora-project/c7b68aea2bc7d592f8fc895a74a46180d390fac4/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_3.gmfgraph
2018-01-25 08:38:25.354 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (19 of 1683): guanglizi/aurora-project
2018-01-25 08:38:26.100 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/Chajunghun/aurora-project/d4d39861446ea941929780505987dbaf9e3b7a8d/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:26.100 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_4.gmfgraph
2018-01-25 08:38:26.100 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (20 of 1683): Chajunghun/aurora-project
2018-01-25 08:38:26.554 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/Jamzeroth/WorkspacesMG/245a0b8d9cda2e4440ca65fa75a6e6dc1e4f49d8/Mars/GMFStateMachine/StateMachine.gmfgraph
2018-01-25 08:38:26.554 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/StateMachine.gmfgraph
2018-01-25 08:38:26.554 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (21 of 1683): Jamzeroth/WorkspacesMG
2018-01-25 08:38:27.002 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/mikevd92/atl2/8d4af51db857138edf2a707d06b319bc7b691688/ResourcePetriNetsMM/model/ResourcePetriNets.gmfgraph
2018-01-25 08:38:27.003 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/ResourcePetriNets.gmfgraph
2018-01-25 08:38:27.003 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (22 of 1683): mikevd92/atl2
2018-01-25 08:38:27.468 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/patilpreetam/aurora-project/7f7a9a551b45514ac3c0e69cd60f66555d9ee588/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:27.468 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_5.gmfgraph
2018-01-25 08:38:27.468 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (23 of 1683): patilpreetam/aurora-project
2018-01-25 08:38:28.017 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/aurora-java/aurora-ide/78d69629b08d3e3b98b9e6b3d8fc8313019854a8/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:28.017 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_6.gmfgraph
2018-01-25 08:38:28.017 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (24 of 1683): aurora-java/aurora-ide
2018-01-25 08:38:28.702 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/sunxucheng/aurora-project/3ea16060819679645d3906d36ea2804016d84252/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:28.702 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_7.gmfgraph
2018-01-25 08:38:28.702 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (25 of 1683): sunxucheng/aurora-project
2018-01-25 08:38:29.401 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/jinphen/aurora-project/5fb70fcf9d1972d4c5bf7c53cc67662530fd682d/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:29.401 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_8.gmfgraph
2018-01-25 08:38:29.401 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (26 of 1683): jinphen/aurora-project
2018-01-25 08:38:30.111 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/kongqinglong1121/aurora-project/c7b68aea2bc7d592f8fc895a74a46180d390fac4/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:30.112 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_9.gmfgraph
2018-01-25 08:38:30.112 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (27 of 1683): kongqinglong1121/aurora-project
2018-01-25 08:38:30.850 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/metacodes/aurora-project/5612918cf4d857e38760bf4de48bb38e6cd7c9a1/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:30.850 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_10.gmfgraph
2018-01-25 08:38:30.850 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (28 of 1683): metacodes/aurora-project
2018-01-25 08:38:31.309 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/ksza/Bicycle-Shop/1f63536b28a8aace9ad47c0cc61f50a0ff7bfdf1/com.itu.mdd.nowheretravel.model/model/gmf/travel.gmfgraph
2018-01-25 08:38:31.309 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/travel.gmfgraph
2018-01-25 08:38:31.309 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (29 of 1683): ksza/Bicycle-Shop
2018-01-25 08:38:32.037 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - Downloaded file https://raw.githubusercontent.com/Letractively/aurora-project/c7b68aea2bc7d592f8fc895a74a46180d390fac4/aurora_ide/aurora.ide.workflow.bpmn.core/model/BPMN20.gmfgraph
2018-01-25 08:38:32.037 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - TO: data-gmf/search/BPMN20_11.gmfgraph
2018-01-25 08:38:32.037 [main] INFO  org.epsilonlabs.rescli.evaluation.GithubRepoSearchRunner - ADDED (30 of 1683): Letractively/aurora-project
